text,label
"A self bow or simple bow is a bow made from a single piece of wood. It is the simplest type of bow, and is often used as a starting point for more advanced bows.",1
"I am sitting at my computer listening to my roommate singing in the background. I can't really smell anything because I'm getting over a cold. I'm thinking about last night. My sorority had a party at Antone's and my date just didn't show up. I've been considering for the last few hours what kind of excuse he is going to come up with this morning. Either way he owes me big time. Now I'm listening to the Doors, again accompanied by my roommate singing and me a little with her. I trying to think of what to write about in this stream of consciousness. I have a class today that I have to read for before 2 o'clock. I really don't feel like reading for that class, but I guess I have to. It's biology and I like the class, but I just caught up with the reading yesterday and then now we have to read a another whole chapter which I am not to excited about. My foot is starting to hurt because I was sitting on it weird, adn now it's asleep. I hate the feeling you get when your foot is trying to wake back up I guess you would call it. This CD that I'm listening to has quite a mix on it. now we're listening to the beatles. It's not my CD or I would know what is on it. I wonder if they will ever completely stop illegal downloading of music on the internet. I mean there's no really way that you can stop anything on the internet. It's too vast and someone will allays think of a way to get around things. I have a download capability on my computer but I don't use it all that often, so I doubt the people like me are the ones they are really after. I understand that some musicians are angry because it takes away from their profits, but downloading allows the person to listen to their music, decide if they like it or not, and then decide to buy the cd. Many of the songs that you download on the internet are not the best quality, so it is easier to just go out and buy the CD. I have no idea who this song playing is by. I still have exes on my hands from the bar last night, I really need to try and wash them off before I forget about it and go to class with them still on. I don't like the way they write exes on your hands. Is not one hand enough? They really don't need to mark both of them. I don't even think you could wash them off in the bathroom of the bar if you wanted to. There would be too much of a chance that they would catch you and throw you out, which would be really embarrassing. Last night was okay, it was not nearly as much fun as I was expecting it to be. Well maybe if my date had showed up, it would've been more fun. I'm not too worried about it though, my boyfriend comes into town tonight so I'm more excited about that. He is not coming in until much later though, I wish he could come earlier. I also need to make sure my friend is going to come up for Lion Hunt, another thing that the sorority throws. Life is so hectic at college, I don't ahve time to really do anything. I don't know how some people do it. They can just go to class, not do any of the reading and be okay with that. If I'm behind in a class it bothers me until I get it done. Then after I sit down and do the reading or the homework, everything's so much better. All I did yesterday afternoon was read. I'm caught up in psychology and journalism finally. But then next week, the cycle starts all over again. I guess that's why I feel like I'm never caught up completely. We're listening to School's Out for Summer"", I wish it was! But that won't happen for a very very long time. But I had fun this summer. I didn't have a job, so I got to do whatever I wanted. It was fun. I really need to straighten up my room, it's got clothes everywhere. They're all clean but thrown around from when I was trying to figure out what to wear last night. I need to go to the grocery store too, I'm out of bottled water and drinks. I need to get more hangers too. Ok enough of this random writing, my 20 minutes are up.",0
"Analytical psychology (, sometimes translated as analytic philosophy) is a branch of psychology that takes a cognitive-behavioral approach to understanding human behavior. It is a relatively recent development in psychology, dating back only to the early 20th century.  Analytical psychology is characterized by its focus on understanding the individual mind and behavior, as opposed to the traditional focus on group behavior and whole person analysis. It has been described as ""theoretical psychology with a microscope"" because its practitioners are often interested in studying the smallest details of mental processes.  Analytical psychologists often use mathematical modeling and computer simulation to explore how individual thoughts and behaviors can produce outcomes. They are also known for their focus on self-awareness and the ability of the mind to process information.",1
"Eugene Salvatore ""Gene"" DiNovi (born May 26, 1928) is an American jazz pianist. DiNovi was born in New York City. He worked with Joe Marsala and Chuck Wayne while a teenager. He was very active live and on record in the late 1940s, working with Buddy DeFranco, Benny Goodman, Chubby Jackson, Brew Moore, Boyd Raeburn, Buddy Rich, Artie Shaw, Lester Young. He worked extensively as an accompanist for vocalists, starting with Peggy Lee in 1949–1950; he also played behind Tony Bennett and Anita O'Day. He recorded with Lena Horne multiple times in the late 1950s and early 1960s and also accompanied her on tours of Europe. During this time, he also worked with his own small groups; his sidemen included Danny Bank, Johnny Carisi, Bill Crow, Tony Fruscella, and Dave Schildkraut. He began working more as a studio musician and film score composer in the 1960s. Toward the end of the decade he played with Carmen McRae, then moved to Canada to take a position as a house pianist with the CBC in Toronto. In the 1980s he worked with Ruby Braff and toured and recorded in Japan, and continued to be active as a performer into the 1990s, working with James Campbell, Don Thompson, Memo Acevedo, Dave Young, and Terry Clarke.",0
" Living on a budget means carefully managing your income and expenses to ensure that you are living within your means and not accumulating additional debt. If you have a great many debts, creating and sticking to a budget can be a crucial step towards improving your financial situation.  To begin with, you will need to take a close look at your income and expenses. Make a list of all your debts, including the amount owed, interest rates, and minimum payments required. Next, track all of your income sources and expenses over a period of at least one month. This will give you a better understanding of where your money is going and where you may be able to cut back.  Once you have a clear picture of your financial situation, it's time to create a budget. Start by prioritizing your debts and making sure to make at least the minimum payments on each one. Consider creating a debt repayment plan that prioritizes the highest interest debts first, as these will cost you the most in the long run.  Next, identify areas where you can reduce your expenses. This could include cutting back on dining out or entertainment, canceling subscription services, or finding ways to save on groceries and utilities. Look for ways to increase your income as well, such as taking on additional work or selling items you no longer need.  It's important to stick to your budget and make adjustments as needed. Avoid taking on new debt unless absolutely necessary, and make a habit of saving a portion of your income each month. Over time, as you pay down your debts and improve your financial situation, you can gradually adjust your budget and increase your savings. Remember, living on a budget is about making responsible choices and being mindful of your spending habits, and it can be a powerful tool for achieving financial stability and long-term success.        ",1
"Oryzomys dimidiatus, also known as the Nicaraguan rice rat, is a species of rodent in the family Cricetidae. It is found only in Nicaragua. Its natural habitats are subtropical or tropical dry forests, subtropical or tropical moist montane forests, and heavily degraded former forest.",1
"Halfrek or Hallie is a recurring fictional character on the TV series Buffy the Vampire Slayer. She appears as a vengeance demon in seasons 6 and 7, and has previously appeared as Cecily in season 5. She is played by actress Kali Rocha. Halfrek Halfrek is a long-time associate and sometime friend of Anya, who knew her from her days as a vengeance demon. The two had worked together in the past, notably during the Russian Revolution of 1905. However, Halfrek's raison d'etre differed from Anya's. Whereas Anya was an avenger of scorned women, Halfrek's ""thing"" (as Anya put it) is to perform vengeance for children who have been wronged by their parents or guardians. Anya attributes this to ""daddy issues"". Even after Anya ceases to be a vengeance demon, she continues her friendship with Halfrek. Like Anyanka used the name Anya when masquerading as human, Halfrek's mortal persona goes by the name Hallie.",0
"Krakatau split with a blinding noise and raised from gutted, steaming rock a pulverized black sky, over water walls that swiftly fell on Java and Sumatra. Fifteen days before, in its cage in Amsterdam, the last known member of Equus quagga, the southernmost subspecies of zebra, died. Most of the wild ones, not wild enough, grazing near the Cape of Good Hope, had been shot and skinned and roasted by white hunters. When a spider walked on cooling Krakatau's skin, no quagga walked anywhere. While seeds pitched by long winds onto newborn fields burst open and rooted, perhaps some thistle flourished on the quagga's discarded innards. The fractured island greened and hummed again; handsome zebras tossed their heads in zoos, on hired safari plains. Who needs to hear a quagga's voice? Or see the warm hide twitch away a fly, see the neck turn, curving its cream and chestnut stripes that run down to plain dark haunches and plain white legs? A kind of horse. Less picturesque than a dodo. Still, we mourn what we mourn. Even if, when it sank to its irreplaceable knees, when its unique throat closed behind a sigh, no dust rose to redden a whole year's sunsets, no one unwittingly busy two thousand miles away jumped at the sound, no ashes rained on ships in the merciless sea.",0
" A world-class athlete is someone who performs at the highest level of their sport, competes internationally, and achieves outstanding results. There are many examples of world-class athletes from different sports and countries, but for this essay, I will focus on one: Simone Biles.  Simone Biles is a world-class athlete in gymnastics. She is widely regarded as the greatest gymnast of all time, and has won a record-breaking 25 medals at the World Championships, including 19 golds. She also has four Olympic gold medals and one bronze from the 2016 Rio Games. She is the first woman to win five all-around titles at the World Championships, and the first gymnast to perform several difficult skills that are named after her.  Simone Biles deserves to be in the category of world-class athletes because of her exceptional talent, dedication, and resilience. She started gymnastics at the age of six, and quickly showed her potential. She trained hard for many hours a day, balancing her sport with her education and personal life. She overcame many challenges and obstacles, such as poverty, racism, abuse, injuries, and mental health issues. She always showed courage and grace under pressure, and never gave up on her dreams.  Simone Biles is not only a world-class athlete, but also a role model and an inspiration for many people around the world. She uses her platform to advocate for social justice, women’s rights, and mental health awareness. She supports various causes and charities, such as UNICEF, Special Olympics, and The Biles Foundation. She also encourages young girls to pursue their passions and believe in themselves.  In conclusion, Simone Biles is a world-class athlete who has achieved remarkable feats in gymnastics and beyond. She exemplifies what it means to be a world-class athlete: someone who excels in their sport, competes at the highest level, and makes a positive impact on society.       ",1
"Life is a journey through endless time,
A canvas painted with feelings sublime,
A tapestry woven with threads of fate,
An intricate dance with joy and heartache.

We traverse this path with each passing day,
Taking in all that comes our way,
The highs and the lows that make us grow,
With every step we learn and we know.

Life gives us moments of purest bliss,
When love and laughter are hard to miss,
But it also deals us its heavy blow,
With pain and sorrow we must learn to grow.

We face challenges that test our might,
And push us to stand up and fight,
To find our strength and courage within,
And know that we'll come out to win.

The beauty of life lies in its sway,
With each breath a new beginning, a new day,
In every moment, a chance to start anew,
And embrace the wonders that life offers you. 

So live your life with passion and zeal,
Chase your dreams and let your heart feel,
For every experience, good or bad,
Adds a color to the canvas of life we've had.",1
