text,label
"Sound, oh sound, how sweet thy tune
A melody that fills the room
A symphony of pitch and tone
A journey for the ears alone

From the softest whispers to the loudest cries
To the laughter of children and the lovers' sighs
It carries messages both small and grand
A language we all understand

It can soothe the soul and calm the mind
A balm to heal the hurting kind
It can uplift and inspire us all
And make our spirits rise and fall

It's the music of nature, of wind and waves
The rustling of leaves, and rain in caves
It's the tapping of feet, and clapping of hands
A rainbow of sound that never ends

Sound, oh sound, how it enriches life
The perfect symphony, free from strife
A gift that we must cherish and protect
A treasure whose value we cannot neglect.",1
"In the secular night you wander around
alone in your house. It’s two-thirty.
Everyone has deserted you,
or this is your story;
you remember it from being sixteen,
when the others were out somewhere, having a good time,
or so you suspected,
and you had to baby-sit.
You took a large scoop of vanilla ice-cream
and filled up the glass with grapejuice
and ginger ale, and put on Glenn Miller
with his big-band sound,
and lit a cigarette and blew the smoke up the chimney,
and cried for a while because you were not dancing,
and then danced, by yourself, your mouth circled with purple.
Now, forty years later, things have changed,
and it’s baby lima beans.
It’s necessary to reserve a secret vice.
This is what comes from forgetting to eat
at the stated mealtimes. You simmer them carefully,
drain, add cream and pepper,
and amble up and down the stairs,
scooping them up with your fingers right out of the bowl,
talking to yourself out loud.
You’d be surprised if you got an answer,
but that part will come later.
There is so much silence between the words,
you say. You say, The sensed absence
of God and the sensed presence
amount to much the same thing,
only in reverse.
You say, I have too much white clothing.
You start to hum.
Several hundred years ago
this could have been mysticism
or heresy. It isn’t now.
Outside there are sirens.
Someone’s been run over.
The century grinds on.",0
"Dreams - a world beyond our own  
A place where possibilities are grown  
A realm where imagination roams so free  
And we can be whoever we want to be  
  
In dreams, we can soar through the sky  
Or swim with dolphins, way up high  
We can talk to lions or fly with birds  
And roam through vast lands, without any words  
  
Our dreams can be sweet, or they can be strange  
And leave us feelings that we can't derange  
They can inspire, or fill us with fear  
And leave us longing, for when they reappear  
  
But what makes dreams so magical and true  
Is that they're reflections of what we pursue  
They show us our passions, our yearning desires  
And ignite our souls like smoldering fires  
  
So embrace the dreams that come to you at night  
For they're a gift, like a glimmer of light  
And they'll take you on journeys, you've never seen  
To a world that's forever, wild and serene.",1
"Sight, oh sight,
What a precious gift besides light.
A stunning world to behold,
A treasure trove of colors and stories untold.

With sight, we witness nature's glory,
The sunrise, the sunset, and all its mystery.
The stars twinkling in the night sky,
And the clouds that paint on high.

Through sight, we can read and learn,
Books and knowledge, to our brain it returns.
We can gaze at art with awe and wonder,
And see the beauty of human culture.

Sight connects us with other souls,
The sparkle in a lover's eye, it unfolds.
The tenderness of a child's smile,
And the happiness that is worth the while.

Without sight, the world would be dark and grey,
Silhouettes of things, apart from the day.
But with sight, we get to live a life,
A precious gift, that helps us thrive.",1
"Yes, I wanted them to levitate.
Unfortunately, I hadn't a leg to stand on.
Cut-out camels plodded across the blackboard's high
sill. Yet the desert below refused to unfurl its
mica wings. When I asked them to try to remember,
to release a soap bubble from their marvelous arsenal
of wands, they resisted. They lined up, suspicious
in individual spotlights. The fountain inside
the scissored palm could only rise so high,
maybe just a trumpeted C. Which is high, but
not like those huge blue dreams that used to float by,
shot from cloud-atomizers, the original public breeze
on its back in the grass. Let's try to guess who
or what is being borne up by this caravan of thin-
skinned humps, a-bulge, inoculated? I tell you
every one has a rider, a crop. It's been done
this way for some time. If we pause here by the pillars
of sand, up to our poet-knees in anarchy, won't each
gulp of hoarded water from the toppled monument be
sweeter passed hand to hand in the sun-colored dipper?
Up to our thighs in it now, and spared what drills it-
self into the rock daily, so it can claim to know zero
after zero, and make that nothing into a sound like
silent bells, split parched hooves, plodding.",0
"The scent of pig is faint tonight
as the lime trees hang their heads against gradations of blue,
looking at the lone suitcase in the middle of the farmyard
with a sense of solidarity. Also forgotten.
Its owner never once looked up at them and exclaimedI was still soft-fingered when I planted you.
In the plane, her gaze rests on a flock of cloud-birds,
pinkish purple with elongated necks, rests
on the plane’s wing-tip colored pink by the sun.
Her head is heavy with this childhood cargo,
like the hawk that usually flies between or above their branches,
found skimming the ground with its catch of mouse or mole,
or the barge that passes every day at four, its metal nose
just out of the water, while empty at eight, its sleek sides
flash signals to those on shore. Later, on the highway
a row of trucks lit like orange squares in the setting sun—
a colony of ants each with a piece of chrysanthemum
on their backs—begins to reassemble memories;
the petals become lining, the shape of the flower is lost,
so that years later, looking at an old photograph,
she will not remember the names of cousins and uncles
but the exact bend in the river behind them, the pattern of trees.",0
"Gentle, delicate, a lover's caress,
Intimate moments, nothing can express,
Electric sparks that light up the skin,
A touch that makes your heart begin.

Fingers tracing through hair so fine,
Every touch sends shivers down the spine,
Whispers of love that lull to sleep,
Caressing arms, ever soft and deep.

Tender kisses, a trail down the neck,
A touch so light it leaves just a speck,
The skin alive with every sensation,
A moment shared, the ultimate temptation.

Touch, a language that speaks so much,
A connection that fills the heart's clutch,
In your arms, I feel at home,
A touch that never leaves me alone.",1
"Blue, the color of the sea,  
Reflecting peace and tranquility.  
It's the hue of the sky, so vast and free,  
A sight that fills the soul with glee.  
 
Blue, the color of the ocean,  
The coolness and calmness it emotes.  
It's the shade of peace and devotion,  
That in our hearts forever floats.  
 
Blue, the color of harmony,  
The blissful calmness it conveys.  
It's the color of serenity,  
That makes our spirits bright and gay.  
 
The color of strength and loyalty,  
It fills our hearts with purity.  
It brightens up our every day,  
And fills our souls with harmony.  
 
Blue, the color of the world,  
The color that calms and soothes.  
It soothes the mind and the soul,  
And makes our hearts smooth.",1
"I detest the bug that crawls and creeps,
Its presence in my home, I cannot keep.
It scurries along the wall and floor,
Making me shudder and want to roar.

Its six legs move in unison,
A sight that fills me with revulsion.
The way it moves leaves me unsettled,
I wish it would just retreat, be fettled.

Its antenna wave in the air,
As if searching for something to ensnare.
I can't help but feel so anxious,
As if it's watching and waiting, devious.

Its body is slimy and small,
I want it gone once and for all.
But no matter how much I try,
It seems to always find a way by.

Oh, how I hate that creepy bug,
May it scuttle away, be gone, and clear out all the grunge.",1
"Innocent giggles and playful screams,
Inquisitive eyes and endless dreams,
A world of wonder in every sight,
Childhood memories, forever bright.

Skipping ropes and hopscotch squares,
Barefoot adventures and no worldly cares,
Endless summers, never-ending fun,
Lost in the moment, under the sun.

Sweet scents of freshly baked pies,
Warm hugs and lullabies,
Magical tales before bedtime,
Visions of fairies and dragons to find.

Building forts, climbing trees,
Feeling free with the gentle breeze,
Friends at our side, happy and gay,
Childhood moments that never fade away.

Laughter that echoes, memories that last,
Innocent moments that go by so fast,
A time of wonder, joy, and play,
Childhood, where our hearts can truly stay.",1
"defunct
list of
common
names
proxy
for the
bearer
nor’wester
buffets gear
reach
into our
canisters
“Cassirer”
drawn and
sewn into
my lapels
assembly of
illegal men
peril will
not know
two
Roman
slaves rain
the rage
passes
through our
teeth into
interior
pneumatic
doors
my evening
of moniker
stamped
upon boxes
of envelopes
blank
ledger
for you
“Macquin”
with tin
and amber
stockpiled
you prince",0
"Put nothing down to distress the reader.
No barking dog.
No rustle in the place whispers belong
or photos of petals near collapse.
Erase oranges of confusing taste, a face
wrinkled or in pain,
a map with waterless rivers or water
without a bend,
still in darkness. Here, where mystery
beyond hope comes too near,
make a bright flight of leaves
descend, none to smear all our spotless
rivers. A map folds and unfolds, does not
bunch or wrinkle. Rainbows to last.
The First Endlessness of Eden.
This was the spot I was to start on, a leg
steps out of the lake,
a step falters instead into dashes that spread without prints onto the screaming bank.",0
"Whispers of the Ocean's Song

The waves, they crash against the shore
Their melody, a haunting score
A constant rhythm, ebb and flow
A song the ocean does bestow

Whispers of the ocean's song
Echo in the breeze, all day long
A symphony of sound and light
A peaceful, soothing lullaby

The salty air, it fills my lungs
I close my eyes and softly hum
The ocean's song, it brings me peace
A sense of calm that will not cease

Whispers of the ocean's song
A gift to all who come along
A reminder of the beauty here
Its wonder, nothing can compare

So listen close, and you will hear
The whispers of the ocean's song so clear
A symphony of sound and peace
A harmony that will never cease.",1
"Faith is like a light that guides our way,
A pillar strong that helps us stay.
When the road is dark and bleak,
It is faith that we must seek.

It's the belief in something bigger,
Something that makes our heart trigger.
A force that can help us climb,
Over the mountains, standing high.

Faith is the wind beneath our wings,
The trust that makes us believe in things.
Hope in the midst of despair,
The promise of a better air.

It's the deepest part of our soul,
The mark that makes us whole.
A connection to the divine,
A power that makes us shine.

Faith is what keeps us going,
A light that keeps on glowing.
It's the spark that sets us free,
In the journey that we must be.

So hold onto faith with all your might,
Let it guide you through the night.
Believe in what you cannot see,
And the world will open up to thee.",1
